"Quarter","Quarterly change in business inventories (billions) 1955-1969"
"1955Q1",4.4
"1955Q2",5.8
"1955Q3",6.7
"1955Q4",7.1
"1956Q1",5.7
"1956Q2",4.1
"1956Q3",4.6
"1956Q4",4.3
"1957Q1",2.0
"1957Q2",2.2
"1957Q3",3.6
"1957Q4",2.2
"1958Q1",5.1
"1958Q2",4.9
"1958Q3",0.1
"1958Q4",4.1
"1959Q1",3.8
"1959Q2",9.9
"1959Q3",0.0
"1959Q4",6.5
"1960Q1",10.8
"1960Q2",4.1
"1960Q3",2.7
"1960Q4",2.9
"1961Q1",2.9
"1961Q2",1.5
"1961Q3",5.7
"1961Q4",5.0
"1962Q1",7.9
"1962Q2",6.8
"1962Q3",7.1
"1962Q4",4.1
"1963Q1",5.5
"1963Q2",5.1
"1963Q3",8.0
"1963Q4",5.6
"1964Q1",4.5
"1964Q2",6.1
"1964Q3",6.7
"1964Q4",6.1
"1965Q1",10.6
"1965Q2",8.6
"1965Q3",11.6
"1965Q4",7.6
"1966Q1",10.9
"1966Q2",14.6
"1966Q3",14.5
"1966Q4",17.4
"1967Q1",11.7
"1967Q2",5.8
"1967Q3",11.5
"1967Q4",11.7
"1968Q1",5.0
"1968Q2",10.0
"1968Q3",8.9
"1968Q4",7.1
"1969Q1",8.3
"1969Q2",10.2
"1969Q3",13.3
"1969Q4",6.2

Quarterly change in business inventories (billions) 1955-1969

